,Country Name,Country Code,Entity
230,St. Vincent and the Grenadines,VCT,
231,Sudan,SDN,ME
232,Suriname,SUR,
233,Swaziland,SWZ,
234,Sweden,SWE,NE
235,Switzerland,CHE,GE
236,Syrian Arab Republic,SYR,ME
237,Tajikistan,TJK,
238,Tanzania,TZA,SSA
239,Thailand,THA,SEA
240,Timor-Leste,TMP,
241,Togo,TGO,SSA
242,Tonga,TON,
243,Trinidad and Tobago,TTO,
244,Tunisia,TUN,
245,Turkey,TUR,ME
246,Turkmenistan,TKM,
249,Uganda,UGA,SSA
250,Ukraine,UKR,EE
251,United Arab Emirates,ARE,
252,United Kingdom,GBR,A
253,United States,USA,A
254,Uruguay,URY,LA
255,Uzbekistan,UZB,
256,Vanuatu,VUT,
257,"Venezuela, RB",VEN,LA
258,Vietnam,VNM,SEA
260,West Bank and Gaza,WBG,ME
261,"Yemen, Rep.",YEM,ME
262,Zambia,ZMB,SSA
263,Zimbabwe,ZWE,SSA
